  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     5.700 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.000  -0.6626   0.00758   0.00317  -0.0518   0.8959   0.0194
  -7.500  -0.6070   0.00729   0.00285  -0.0517   0.8778   0.0216
  -7.000  -0.5509   0.00704   0.00256  -0.0516   0.8585   0.0234
  -6.500  -0.4949   0.00679   0.00228  -0.0516   0.8366   0.0270
  -6.000  -0.4387   0.00658   0.00202  -0.0516   0.8113   0.0310
  -5.500  -0.3821   0.00639   0.00180  -0.0516   0.7857   0.0356
  -5.000  -0.3256   0.00622   0.00160  -0.0517   0.7575   0.0422
  -4.500  -0.2689   0.00608   0.00142  -0.0517   0.7274   0.0499
  -4.000  -0.2121   0.00595   0.00126  -0.0518   0.6961   0.0600
  -3.500  -0.1553   0.00584   0.00112  -0.0519   0.6648   0.0737
  -3.000  -0.0985   0.00573   0.00099  -0.0520   0.6330   0.0922
  -2.500  -0.0416   0.00563   0.00090  -0.0521   0.6021   0.1147
  -2.000   0.0154   0.00555   0.00082  -0.0523   0.5717   0.1411
  -1.500   0.0724   0.00547   0.00076  -0.0524   0.5423   0.1737
  -1.000   0.1294   0.00542   0.00073  -0.0526   0.5139   0.2096
  -0.500   0.1865   0.00536   0.00071  -0.0528   0.4885   0.2500
   0.000   0.2435   0.00531   0.00071  -0.0529   0.4642   0.2951
   0.500   0.3006   0.00525   0.00073  -0.0531   0.4427   0.3472
   1.000   0.3573   0.00520   0.00076  -0.0533   0.4192   0.4132
   1.500   0.4137   0.00510   0.00081  -0.0534   0.3960   0.5005
   2.000   0.4698   0.00510   0.00090  -0.0535   0.3653   0.5768
   2.500   0.5254   0.00517   0.00102  -0.0535   0.3295   0.6480
   3.000   0.5804   0.00530   0.00118  -0.0533   0.2895   0.7211
   3.500   0.6348   0.00546   0.00136  -0.0531   0.2506   0.7952
   4.000   0.6884   0.00567   0.00159  -0.0526   0.2096   0.8655
   4.500   0.7401   0.00596   0.00186  -0.0517   0.1679   0.9272
   5.000   0.7900   0.00632   0.00214  -0.0504   0.1324   0.9694
   5.500   0.8455   0.00676   0.00244  -0.0504   0.1010   0.9918
   6.000   0.9108   0.00724   0.00278  -0.0528   0.0752   0.9987
   6.500   0.9669   0.00770   0.00312  -0.0530   0.0585   1.0000
   7.000   1.0169   0.00810   0.00344  -0.0519   0.0468   1.0000
   7.500   1.0685   0.00851   0.00379  -0.0512   0.0388   1.0000
   8.000   1.1201   0.00895   0.00417  -0.0505   0.0321   1.0000
   8.500   1.1718   0.00939   0.00457  -0.0499   0.0275   1.0000
   9.000   1.2231   0.00985   0.00499  -0.0492   0.0238   1.0000
   9.500   1.2737   0.01035   0.00545  -0.0485   0.0204   1.0000
  10.000   1.3238   0.01086   0.00594  -0.0477   0.0183   1.0000
  10.500   1.3735   0.01137   0.00644  -0.0468   0.0166   1.0000
  11.000   1.4214   0.01197   0.00702  -0.0458   0.0147   1.0000
  11.500   1.4692   0.01253   0.00758  -0.0447   0.0137   1.0000
  12.000   1.5151   0.01317   0.00822  -0.0433   0.0126   1.0000
  12.500   1.5590   0.01389   0.00895  -0.0417   0.0114   1.0000
  13.000   1.6025   0.01455   0.00962  -0.0400   0.0110   1.0000
  13.500   1.6424   0.01533   0.01042  -0.0378   0.0103   1.0000
  14.000   1.6738   0.01626   0.01137  -0.0341   0.0093   1.0000
  14.500   1.7051   0.01718   0.01233  -0.0307   0.0090   1.0000
  15.000   1.7355   0.01821   0.01341  -0.0274   0.0088   1.0000
  15.500   1.7630   0.01947   0.01472  -0.0241   0.0084   1.0000
  16.000   1.7870   0.02104   0.01633  -0.0207   0.0080   1.0000
  16.500   1.8071   0.02300   0.01835  -0.0174   0.0075   1.0000
  17.000   1.8245   0.02533   0.02077  -0.0145   0.0071   1.0000
  17.500   1.8428   0.02777   0.02329  -0.0121   0.0070   1.0000
  18.000   1.8577   0.03070   0.02630  -0.0102   0.0069   1.0000
  18.500   1.8685   0.03421   0.02991  -0.0086   0.0068   1.0000
  19.000   1.8748   0.03839   0.03419  -0.0075   0.0066   1.0000
  19.500   1.8757   0.04348   0.03939  -0.0071   0.0064   1.0000
  20.000   1.8704   0.04956   0.04560  -0.0073   0.0062   1.0000
