#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  0.88951  0.007382  0.004172  0.000712     1.769
   0.00632  0.99381  0.00254  0.89967  0.006907  0.003995  0.000789     1.729
   0.01731  0.98304  0.00473  0.91837  0.006154  0.003697  0.000936     1.665
   0.03011  0.97049  0.00724  0.93850  0.005487  0.003410  0.001094     1.609
   0.04441  0.95646  0.01001  0.95889  0.004923  0.003148  0.001255     1.564
   0.05976  0.94138  0.01291  0.97847  0.004462  0.002920  0.001410     1.528
   0.07573  0.92569  0.01588  0.99661  0.004090  0.002725  0.001554     1.501
   0.09203  0.90967  0.01884  1.01330  0.003785  0.002559  0.001687     1.479
   0.10849  0.89346  0.02176  1.02849  0.003535  0.002417  0.001807     1.462
   0.12504  0.87717  0.02463  1.04259  0.003320  0.002292  0.001919     1.449
   0.14163  0.86082  0.02745  1.05559  0.003137  0.002181  0.002022     1.438
   0.15824  0.84444  0.03020  1.06772  0.002976  0.002083  0.002118     1.429
   0.17486  0.82804  0.03289  1.07927  0.002832  0.001992  0.002210     1.422
   0.19149  0.81162  0.03552  1.09022  0.002702  0.001909  0.002297     1.415
   0.20812  0.79519  0.03809  1.10058  0.002584  0.001832  0.002379     1.410
   0.22474  0.77875  0.04059  1.11068  0.002474  0.001760  0.002460     1.406
   0.24137  0.76230  0.04302  1.12036  0.002372  0.001692  0.002537     1.402
   0.25800  0.74585  0.04539  1.12977  0.002277  0.001628  0.002613     1.398
   0.27462  0.72938  0.04769  1.13897  0.002187  0.001567  0.002688     1.396
   0.29124  0.71292  0.04993  1.14796  0.002102  0.001509  0.002761     1.393
   0.30785  0.69645  0.05210  1.15683  0.002020  0.001452  0.002834     1.391
   0.32446  0.67998  0.05420  1.16543  0.001944  0.001399  0.002904     1.389
   0.34105  0.66350  0.05624  1.17418  0.001868  0.001346  0.002978     1.388
   0.35764  0.64703  0.05820  1.18260  0.001797  0.001296  0.003048     1.386
   0.37422  0.63056  0.06009  1.19114  0.001728  0.001247  0.003121     1.385
   0.39079  0.61410  0.06191  1.19957  0.001661  0.001200  0.003193     1.385
   0.40734  0.59764  0.06366  1.20803  0.001596  0.001153  0.003266     1.384
   0.42388  0.58118  0.06533  1.21646  0.001533  0.001108  0.003340     1.383
   0.44040  0.56474  0.06692  1.22495  0.001471  0.001064  0.003415     1.383
   0.45690  0.54830  0.06843  1.23343  0.001412  0.001021  0.003491     1.383
   0.47339  0.53188  0.06985  1.24213  0.001352  0.000978  0.003571     1.383
   0.48985  0.51547  0.07120  1.25071  0.001295  0.000936  0.003650     1.383
   0.50630  0.49907  0.07245  1.25958  0.001239  0.000895  0.003733     1.383
   0.52271  0.48270  0.07362  1.26849  0.001183  0.000855  0.003819     1.384
   0.53910  0.46635  0.07469  1.27760  0.001129  0.000815  0.003908     1.384
   0.55545  0.45002  0.07567  1.28697  0.001074  0.000776  0.004002     1.385
   0.57177  0.43373  0.07654  1.29655  0.001021  0.000737  0.004102     1.385
   0.58802  0.41749  0.07732  1.30671  0.000967  0.000698  0.004214     1.385
